title,index_show,badge,follow,play,score,is_finish,media_id,cover
六花的勇者,全12话,免费观看,58.7万人追番,1569万次播放,8.4分,1,2584,http://i0.hdslb.com/bfs/bangumi/b9f4bc89568f0b59742c6b0f941a95876a6ffaac.jpg
天使的3P!,全12话,免费观看,84.1万人追番,1384.2万次播放,8.4分,1,6328,http://i0.hdslb.com/bfs/bangumi/78ef9dff0fb338e6e037332821aff4b1441b9d96.jpg
龙之界点,全12话,免费观看,25.6万人追番,100.6万次播放,8.4分,1,3361,http://i0.hdslb.com/bfs/bangumi/994e0fb70f701981538c0375002b2a237f5be807.jpg
刀使巫女（中配）,全24话,免费观看,7597人追番,70.1万次播放,8.3分,1,89152,http://i0.hdslb.com/bfs/bangumi/a70e608f6ea73ef2dc8ae987a85954d65fada537.jpg
Re:CREATORS,全22话,免费观看,262.2万人追番,5998.8万次播放,8.3分,1,5998,http://i0.hdslb.com/bfs/bangumi/3944fe0b84a5763cde6b0573773b89ba86b4321d.jpg
Dance with Devils,全12话,免费观看,21.5万人追番,449.3万次播放,8.3分,1,2746,http://i0.hdslb.com/bfs/bangumi/dfd7ab1a996650852405f2e7f91cae13ca1bb553.jpg
青鬼,全13话,会员专享,11.8万人追番,439.4万次播放,8.3分,1,5538,http://i0.hdslb.com/bfs/bangumi/dcbf3c193f4f8c0433d8dee2ee02580de15948b6.jpg
钢壳都市雷吉欧斯,全24话,免费观看,23.7万人追番,342.9万次播放,8.3分,1,1092,http://i0.hdslb.com/bfs/bangumi/25ebc305379edc716f91edecd2324c4b5b805005.jpg
心靈代碼 QUALIDEA CODE（僅限港澳台地區）,全12话,免费观看,11.1万人追番,34.9万次播放,8.3分,1,5052,http://i0.hdslb.com/bfs/bangumi/fd9fc76508d2bfd43cf522d18b69a8a8adcdc132.jpg
从零开始的魔法书,全12话,免费观看,165.6万人追番,3036万次播放,8.3分,1,6001,http://i0.hdslb.com/bfs/bangumi/aec7ee132ed53855118b1bc5de3f95f0d1f21875.jpg
革命机Valvrave,全24话,免费观看,15.4万人追番,273.8万次播放,8.3分,1,3307,http://i0.hdslb.com/bfs/bangumi/e217bf533d34f3d8140717863556b228dfb1225a.jpg
ViVid Strike!,全12话,免费观看,13.9万人追番,265.4万次播放,8.3分,1,5514,http://i0.hdslb.com/bfs/bangumi/0549ae837ee1ceed546f518d1452d4b797735a52.jpg
核爆默示录,全13话,免费观看,8.9万人追番,241.9万次播放,8.3分,1,485,http://i0.hdslb.com/bfs/bangumi/1e122ceab911caa7fdcd7abb6d676de8050a95ae.jpg
请别忧伤了二之宫君,全12话,免费观看,19.3万人追番,200.5万次播放,8.3分,1,1345,http://i0.hdslb.com/bfs/bangumi/ecdf67ffce97a93c6a52b54948dccb636b76928d.jpg
分形世界,全11话,免费观看,3.4万人追番,15.3万次播放,8.3分,1,953,http://i0.hdslb.com/bfs/bangumi/ed0d9a6e48d61e186b714fe8683cdaebfca02c2b.jpg
逆转裁判,全24话,免费观看,33.2万人追番,1236.6万次播放,8.3分,1,3527,http://i0.hdslb.com/bfs/bangumi/7da415b5c2835432af78f542c2e35284334af348.jpg
DAYS,全24话,免费观看,18.6万人追番,650.5万次播放,8.2分,1,5063,http://i0.hdslb.com/bfs/bangumi/20f05ecc4c50d560814e511ced4205f37e640501.jpg
公主恋人！,全12话,免费观看,36.8万人追番,439.1万次播放,8.2分,1,1083,http://i0.hdslb.com/bfs/bangumi/8c3c670f843940ec1ec0b19622c7960e8783b4ea.jpg
智龙迷城X,全89话,会员专享,6.9万人追番,411.3万次播放,8.2分,1,5025,http://i0.hdslb.com/bfs/bangumi/e7f7e5b07441da16e382ea4563f82f63f8632626.jpg
恶魔战线,全12话,会员专享,35.2万人追番,400.9万次播放,8.2分,1,78272,http://i0.hdslb.com/bfs/bangumi/c0f89bd9ed3b449c9f65502df426125669654d9b.png
学战都市Asterisk 第二季,全12话,免费观看,84.8万人追番,3885.9万次播放,8.2分,1,3464,http://i0.hdslb.com/bfs/bangumi/3f390754aecd279d3915a60676fa6ea735a72010.jpg
神装少女小缠,全12话,免费观看,16.8万人追番,385.6万次播放,8.2分,1,5552,http://i0.hdslb.com/bfs/bangumi/7f5889f75d29435ab09c78de97fa52c776bf4fe0.jpg
终结的炽天使,全12话,免费观看,93.3万人追番,3105.6万次播放,8.2分,1,1555,http://i0.hdslb.com/bfs/bangumi/dd75beeae2b4c2753c03ccf36b51798dfbd577c2.jpg
无畏魔女,全12话,免费观看,22.5万人追番,291.5万次播放,8.2分,1,5562,http://i0.hdslb.com/bfs/bangumi/375067c6f49a706855595a32f4bd9f007bb60e7b.jpg
终结的炽天使 名古屋决战篇,全12话,免费观看,76.8万人追番,2551.5万次播放,8.2分,1,2760,http://i0.hdslb.com/bfs/bangumi/34a46a3d1504d05febaa14d0b5174015649974df.jpg
URAHARA,全12话,免费观看,26.2万人追番,190.3万次播放,8.2分,1,6474,http://i0.hdslb.com/bfs/bangumi/83e0dedd0a97c25f104d258d24d18903d9e100f7.jpg
机动战士高达 暮光的阿克西斯 红色残影,全1话,免费观看,1.2万人追番,19.6万次播放,8.2分,1,121412,http://i0.hdslb.com/bfs/bangumi/15454684155c2b7716a64f9edc556fb9860e9af7.jpg
咎狗之血,全12话,免费观看,20.5万人追番,157.1万次播放,8.2分,1,1003,http://i0.hdslb.com/bfs/bangumi/8635450b59ca6d252b919b25220093772fd2e311.jpg
乱步奇谭 Game of Laplace,全11话,免费观看,42.6万人追番,1162.7万次播放,8.2分,1,2585,http://i0.hdslb.com/bfs/bangumi/91d24fa09ed1558e492a0d6cea94983e95823962.jpg
提亚拉之泪,全26话,免费观看,7.9万人追番,9.2万次播放,8.1分,1,3224,http://i0.hdslb.com/bfs/bangumi/4ec74998b07d6fd568644ae08d3c71051339cc2a.jpg
猎人 剧场版 最后的任务,全1话,免费观看,3.6万人追番,62.3万次播放,8.1分,1,6369,http://i0.hdslb.com/bfs/bangumi/0d3d727b8e36932ee35a7459c597fc1ab8cc4f34.jpg
